accuracy,loss,val_accuracy,val_loss
0.26851752400398254,2.2414631843566895,0.7509525418281555,0.8950350880622864
0.5336142182350159,1.311173677444458,0.802043616771698,0.5555546879768372
0.6315941214561462,1.0288443565368652,0.9043124318122864,0.33862030506134033
0.6829066276550293,0.8729038238525391,0.9186872243881226,0.2774032652378082
0.7251449227333069,0.7673431038856506,0.9536716341972351,0.21613234281539917
0.7570847272872925,0.6778719425201416,0.9506407976150513,0.17579028010368347
0.7688596248626709,0.6339780688285828,0.9279528856277466,0.20812936127185822
0.7929134964942932,0.5743749737739563,0.9482161402702332,0.16010019183158875
0.7984228134155273,0.5513260364532471,0.9488223195075989,0.1532738208770752
0.8167513012886047,0.508618950843811,0.9745410680770874,0.09190572053194046
0.8243491649627686,0.4902120530605316,0.9633702635765076,0.12052557617425919
0.8363760709762573,0.45390784740448,0.968652606010437,0.08450919389724731
0.8473227620124817,0.4193234145641327,0.977918267250061,0.072055883705616
0.8533002138137817,0.41172894835472107,0.9679598212242126,0.09478350728750229
0.8624104261398315,0.38503044843673706,0.9792171716690063,0.07094620168209076
0.8728529810905457,0.36318743228912354,0.9808624982833862,0.06382881850004196
0.8765978813171387,0.3532094359397888,0.9846726655960083,0.056711986660957336
0.8805228471755981,0.33253568410873413,0.9840664863586426,0.055053580552339554
0.884015679359436,0.33144205808639526,0.9616383910179138,0.09465795755386353
0.8949263691902161,0.3018958568572998,0.9854520559310913,0.053030360490083694
