accuracy,loss,val_accuracy,val_loss
0.8073890209197998,0.6041862368583679,0.9956702589988708,0.028426017612218857
0.9404414892196655,0.17190629243850708,0.9974021315574646,0.015196625143289566
0.9542328119277954,0.13120007514953613,0.9989608526229858,0.008353933691978455
0.9615786075592041,0.1123838797211647,0.997835099697113,0.008407319895923138
0.9638831615447998,0.10634086281061172,0.9984412789344788,0.0056549496948719025
0.9675560593605042,0.09698168933391571,0.9992206692695618,0.004818521440029144
0.9703287482261658,0.08709249645471573,0.9974887371063232,0.008308582939207554
0.9686723351478577,0.08749901503324509,0.9981815218925476,0.005732889287173748
0.9706528186798096,0.08779066801071167,0.9983546733856201,0.004191790707409382
0.9728853702545166,0.07793666422367096,0.9983546733856201,0.00624533835798502
0.9725973010063171,0.08081109076738358,0.9992206692695618,0.004178783390671015
0.9733535051345825,0.07767587155103683,0.9983546733856201,0.00519606564193964
0.9745057821273804,0.0760425478219986,0.9990474581718445,0.003989931661635637
0.9736775755882263,0.07684315741062164,0.997315526008606,0.008455070666968822
0.9743977785110474,0.0751410648226738,0.9988742470741272,0.0035470949951559305
0.9775665402412415,0.06789389997720718,0.9989608526229858,0.0038924741093069315
0.9765222668647766,0.07134725153446198,0.9992206692695618,0.003068519989028573
0.9756940603256226,0.06863955408334732,0.9987010955810547,0.00465658213943243
0.9767023324966431,0.07022341340780258,0.9992206692695618,0.0024907656479626894
0.9786468148231506,0.06441602855920792,0.9988742470741272,0.0034282049164175987
0.9763782620429993,0.07248586416244507,0.9991340637207031,0.0030348908621817827
0.9781786799430847,0.0651649609208107,0.9989608526229858,0.0032776924781501293
0.9781426787376404,0.06604855507612228,0.9985278844833374,0.0034079269971698523
0.9783226847648621,0.06736698746681213,0.9983546733856201,0.004083897452801466
0.9796910285949707,0.0610448382794857,0.9990474581718445,0.0030715111643075943
