accuracy,loss,val_accuracy,val_loss
0.6797378659248352,1.0130491256713867,0.971163809299469,0.11131124198436737
0.8257174491882324,0.5027281641960144,0.9755802154541016,0.07265492528676987
0.8499873876571655,0.4363231360912323,0.9754936099052429,0.07755197584629059
0.8639588356018066,0.39778560400009155,0.981988251209259,0.057828761637210846
0.8726009130477905,0.37679097056388855,0.9800831079483032,0.06326521933078766
0.8823592662811279,0.34915611147880554,0.9824212193489075,0.05301395803689957
0.8812430500984192,0.34703555703163147,0.9850190281867981,0.0471029058098793
0.8825753331184387,0.3406975269317627,0.9843263030052185,0.0481073297560215
0.8878326416015625,0.32772961258888245,0.983373761177063,0.047380782663822174
0.8910374045372009,0.3184761106967926,0.9831139445304871,0.05688224360346794
0.8938460946083069,0.31605425477027893,0.9880498647689819,0.03602313995361328
0.8935940265655518,0.3101740777492523,0.9838067293167114,0.04494670033454895
0.8974469900131226,0.3051999509334564,0.9886560440063477,0.03495420888066292
0.8961866497993469,0.30662810802459717,0.9828541874885559,0.044277966022491455
0.8994994759559631,0.29873231053352356,0.9808624982833862,0.05130549147725105
0.8973389267921448,0.30266669392585754,0.9878767132759094,0.041284020990133286
0.8994634747505188,0.29289358854293823,0.9842396974563599,0.04300780966877937
0.9052969217300415,0.28496241569519043,0.9872705340385437,0.03873390331864357
0.9026682376861572,0.29238808155059814,0.990734338760376,0.033559348434209824
0.9037485122680664,0.2849455773830414,0.9868375658988953,0.037711843848228455
0.9064491987228394,0.28039833903312683,0.9844129085540771,0.0483955554664135
0.9053689241409302,0.2806819677352905,0.986664354801178,0.03811631351709366
0.908033549785614,0.2704579532146454,0.9787842035293579,0.05055494233965874
0.9089697599411011,0.270900696516037,0.9810356497764587,0.05069327726960182
0.9076374769210815,0.27566173672676086,0.9875302910804749,0.03562955558300018
